Song,Artist,Genre,Year,added,bpm,energy,dance,dB,liveliness,valence,duration,acousticness,speechiness,popularity
Blinding Lights,The Weeknd,canadian contemporary r&b,2020,2020‑05‑29,171,73,51,-6,9,33,200,0,6,99
Lonely (with benny blanco),Justin Bieber,canadian pop,2020,2020‑11‑16,80,24,63,-7,12,9,149,86,4,95
you broke me first,Tate McRae,dance pop,2020,2020‑11‑10,124,37,64,-9,9,8,169,79,5,95
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,canadian pop,2020,2020‑12‑05,146,38,65,-7,8,55,179,7,5,94
Holy (feat. Chance The Rapper),Justin Bieber,canadian pop,2020,2020‑12‑08,87,70,67,-8,9,37,212,20,36,93
Heather,Conan Gray,bedroom pop,2020,2020‑08‑03,102,43,36,-7,32,27,198,58,3,93
Put Your Records On,Ritt Momney,bedroom pop,2020,2020‑10‑07,91,49,40,-11,11,15,210,6,5,92
Wonder,Shawn Mendes,canadian pop,2020,2020‑12‑14,140,64,33,-5,15,13,173,13,6,91
Golden,Harry Styles,pop,2019,2020‑11‑19,140,84,45,-5,13,25,209,21,6,91
Circles,Post Malone,dfw rap,2019,2020‑05‑29,120,76,70,-3,9,55,215,19,4,91
lovely (with Khalid),Billie Eilish,electropop,2018,2018‑06‑14,115,30,35,-10,10,12,200,93,3,91
my ex's best friend (with blackbear),Machine Gun Kelly,ohio hip hop,2020,2020‑09‑26,125,68,73,-5,14,30,139,0,4,89
Falling,Harry Styles,pop,2019,2020‑08‑17,110,27,57,-7,9,6,240,84,3,89
Perfect,Ed Sheeran,pop,2017,2017‑05‑14,95,45,60,-6,11,17,263,16,2,89
Electric Love,BØRNS,electropop,2015,2020‑08‑21,120,80,61,-8,26,52,218,1,5,88
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2018,2020‑09‑26,90,48,76,-6,7,91,158,56,5,87
SLOW DANCING IN THE DARK,Joji,alternative r&b,2018,2020‑09‑26,89,48,52,-7,19,28,209,54,3,87
Still Don't Know My Name,Labrinth,indie poptimism,2019,2020‑08‑03,90,63,32,-6,21,31,153,47,12,87
