Song,Artist,Genre,Year,added,bpm,energy,dance,dB,liveliness,valence,duration,acousticness,speechiness,popularity
Mood (feat. iann dior),24kGoldn,cali rap,2020,2020‑12‑19,91,72,70,-4,27,76,141,22,4,100
positions,Ariana Grande,pop,2020,2020‑12‑19,144,80,74,-5,9,68,172,47,9,99
What You Know Bout Love,Pop Smoke,brooklyn drill,2020,2020‑12‑19,84,55,71,-8,13,54,160,65,35,96
you broke me first,Tate McRae,dance pop,2020,2020‑12‑19,124,37,64,-9,9,8,169,79,5,95
Lonely (with benny blanco),Justin Bieber,canadian pop,2020,2020‑12‑19,80,24,63,-7,12,9,149,86,4,95
WITHOUT YOU,The Kid LAROI,australian hip hop,2020,2020‑12‑19,93,41,66,-7,13,47,161,21,3,95
HOLIDAY,Lil Nas X,country rap,2020,2020‑12‑19,152,51,81,-7,8,84,155,12,16,95
Lemonade,Internet Money,pop rap,2020,2020‑12‑19,140,66,80,-6,11,47,195,26,8,94
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,canadian pop,2020,2020‑12‑19,146,38,65,-7,8,55,179,7,5,94
Levitating (feat. DaBaby),Dua Lipa,dance pop,2020,2020‑12‑19,103,83,70,-4,7,92,203,1,6,92
Take You Dancing,Jason Derulo,dance pop,2020,2020‑12‑19,113,71,79,-4,9,75,190,3,4,92
Put Your Records On,Ritt Momney,bedroom pop,2020,2020‑12‑19,91,49,40,-11,11,15,210,6,5,92
Wonder,Shawn Mendes,canadian pop,2020,2020‑12‑19,140,64,33,-5,15,13,173,13,6,91
Stuck with U (with Justin Bieber),Ariana Grande,pop,2020,2020‑12‑19,179,45,60,-7,38,54,228,22,4,90
Sofia,Clairo,bedroom pop,2019,2020‑12‑19,113,62,74,-10,23,64,188,60,4,90
At My Worst,Pink Sweat$,bedroom soul,2020,2020‑12‑19,92,42,81,-6,13,67,170,78,3,88
Be Kind (with Halsey),Marshmello,brostep,2020,2020‑12‑19,94,63,63,-7,5,45,173,1,5,87
"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,2019,2020‑12‑19,90,63,65,-5,11,43,168,15,3,87
Pumped Up Kicks,Foster The People,indie pop,2011,2020‑12‑19,128,71,73,-6,10,97,240,14,3,86
The Scientist,Coldplay,permanent wave,2002,2020‑12‑19,146,44,56,-7,11,21,310,73,2,86
No Guidance (feat. Drake),Chris Brown,dance pop,2019,2020‑12‑25,93,45,70,-7,16,14,261,12,15,85
Intentions (feat. Quavo),Justin Bieber,canadian pop,2020,2020‑12‑19,148,55,81,-7,10,87,213,30,6,85
This City,Sam Fischer,australian pop,2019,2020‑12‑19,74,38,61,-6,8,52,195,73,4,85
