Song,Artist,Genre,Year,added,bpm,energy,dance,dB,liveliness,valence,duration,acousticness,speechiness,popularity
Are You Bored Yet? (feat. Clairo),Wallows,indie pop,2019,2020‑04‑23,120,68,68,-6,27,64,178,16,3,87,
Pumped Up Kicks,Foster The People,indie pop,2011,2016‑11‑03,128,71,73,-6,10,97,240,14,3,86,
Every Breath You Take,The Police,album rock,1983,2017‑03‑21,117,45,82,-10,7,74,254,54,3,86,
Back In Black,AC/DC,album rock,1980,2018‑03‑01,188,70,31,-6,8,76,255,1,5,86,
Africa,TOTO,album rock,1982,2017‑03‑21,93,37,67,-18,5,73,296,26,3,85,
Hotel California - 2013 Remaster,Eagles,album rock,1976,2017‑03‑21,147,51,58,-9,6,61,391,1,3,85,
Sweet Home Alabama,Lynyrd Skynyrd,album rock,1974,2017‑03‑21,98,61,60,-12,9,89,284,18,3,84,
Seven Nation Army,The White Stripes,alternative rock,2003,2020‑10‑11,124,46,73,-8,26,32,232,1,8,84,
Thunderstruck,AC/DC,album rock,1990,2018‑03‑01,134,89,50,-5,22,26,293,0,4,84,
Ride,Twenty One Pilots,modern rock,2015,2016‑11‑03,75,71,65,-5,11,57,215,1,4,83,
Summer Of '69,Bryan Adams,album rock,1984,2017‑03‑21,139,83,51,-6,7,77,216,2,4,83,
Fortunate Son,Creedence Clearwater Revival,classic rock,1969,2017‑03‑21,133,66,64,-8,15,66,141,20,4,83,
Under the Bridge,Red Hot Chili Peppers,alternative rock,1991,2017‑03‑21,85,35,56,-13,14,46,264,6,5,83,
Californication,Red Hot Chili Peppers,alternative rock,1999,2017‑03‑21,96,77,59,-3,13,33,330,0,3,83,
Don't Stop Believin',Journey,album rock,1981,2017‑03‑21,119,75,50,-9,45,51,251,13,4,83,
Shut Up and Dance,WALK THE MOON,dance pop,2014,2016‑11‑03,128,87,58,-4,26,62,199,1,6,82,
With Or Without You - Remastered,U2,irish rock,1987,2017‑03‑21,110,43,54,-12,14,11,296,0,3,82,
Zombie,The Cranberries,irish rock,1994,2017‑03‑21,167,64,31,-9,37,30,306,2,3,82,
Sex on Fire,Kings of Leon,modern rock,2008,2018‑03‑01,153,91,54,-6,14,37,203,0,5,82,
You Shook Me All Night Long,AC/DC,album rock,1980,2020‑06‑24,127,77,53,-6,39,76,210,0,6,82,
Mr. Blue Sky,Electric Light Orchestra,album rock,1977,2018‑03‑01,178,34,39,-10,25,48,303,65,3,82,
Imagine - Remastered 2010,John Lennon,album rock,1971,2017‑03‑21,76,26,55,-12,9,17,188,91,3,81,
Wonderwall,Oasis,beatlesque,1995,2017‑03‑21,175,85,41,-6,13,46,259,0,4,81,
Should I Stay or Should I Go - Remastered,The Clash,classic rock,1982,2018‑03‑01,113,83,74,-6,38,82,189,8,12,81,
All Along the Watchtower,Jimi Hendrix,acid rock,1968,2017‑03‑21,113,81,44,-6,8,56,241,0,6,80,
Everlong,Foo Fighters,alternative metal,1997,2017‑03‑21,158,88,41,-6,8,36,251,0,4,80,
